Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z10x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,748084,10,102,Water,0,0,102,Water,0,0,0,0
2,275876,10,101,NF,0,0,100,NA,0,0,0,0
3,5851,10,102,Water,0,0,100,NA,0,0,0,0
4,16589,10,31,O-1a,8,2,100,NA,0,0,8,2
5,9928,10,101,NF,0,0,102,Water,0,0,0,0
6,29544,10,31,O-1a,8,2,102,Water,0,0,8,2
7,63297,10,101,NF,0,0,12,D-2,1,1,-1,-1
8,19568,10,5,C-5,3,2,102,Water,0,0,3,2
9,275101,10,5,C-5,3,2,12,D-2,1,1,2,1
10,26813,10,5,C-5,3,2,100,NA,0,0,3,2
11,65065,10,3,C-3,7,7,100,NA,0,0,7,7
12,6165,10,13,D-1/D-2,3,1,100,NA,0,0,3,1
13,122434,10,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
14,16150,10,7,C-7,4,3,100,NA,0,0,4,3
15,3770,10,13,D-1/D-2,3,1,102,Water,0,0,3,1
16,16037,10,7,C-7,4,3,102,Water,0,0,4,3
17,142636,10,101,NF,0,0,7,C-7,4,3,-4,-3
18,108135,10,7,C-7,4,3,12,D-2,1,1,3,2
19,1398072,10,5,C-5,3,2,7,C-7,4,3,-1,-1
20,27542,10,101,NF,0,0,105,VNF,0,0,0,0
21,7843,10,5,C-5,3,2,105,VNF,0,0,3,2
22,196024,10,7,C-7,4,3,7,C-7,4,3,0,0
23,10471,10,7,C-7,4,3,105,VNF,0,0,4,3
24,229258,10,31,O-1a,8,2,105,VNF,0,0,8,2
25,623909,10,3,C-3,7,7,12,D-2,1,1,6,6
26,9167,10,13,D-1/D-2,3,1,105,VNF,0,0,3,1
27,329555,10,101,NF,0,0,101,NF,0,0,0,0
28,3320,10,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
29,33093,10,3,C-3,7,7,102,Water,0,0,7,7
30,570207,10,13,D-1/D-2,3,1,7,C-7,4,3,-1,-2
31,11384,10,102,Water,0,0,7,C-7,4,3,-4,-3
32,8393586,10,3,C-3,7,7,7,C-7,4,3,3,4
33,36643,10,650,M-1/M-2 (50 PC),7,6,12,D-2,1,1,6,5
34,3205,10,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
35,254102,10,7,C-7,4,3,33,O-1a/O-1b,8,2,-4,1
36,122027,10,650,M-1/M-2 (50 PC),7,6,7,C-7,4,3,3,3
37,28212,10,5,C-5,3,2,101,NF,0,0,3,2
38,112432,10,31,O-1a,8,2,7,C-7,4,3,4,-1
39,51462,10,31,O-1a,8,2,12,D-2,1,1,7,1
40,57769,10,13,D-1/D-2,3,1,12,D-2,1,1,2,0
41,202423,10,31,O-1a,8,2,101,NF,0,0,8,2
42,123254,10,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
43,64498,10,13,D-1/D-2,3,1,101,NF,0,0,3,1
44,576,10,11,D-1,3,3,100,NA,0,0,3,3
