Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z20x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,22018638,20,31,O-1a,8,2,105,VNF,0,0,8,2
2,889895,20,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
3,378316,20,31,O-1a,8,2,100,NA,0,0,8,2
4,17212280,20,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
5,536416,20,101,NF,0,0,100,NA,0,0,0,0
6,264996,20,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
7,81559,20,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
8,569516,20,102,Water,0,0,102,Water,0,0,0,0
9,163128,20,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
10,377198,20,31,O-1a,8,2,102,Water,0,0,8,2
11,421180,20,101,NF,0,0,105,VNF,0,0,0,0
12,158504,20,13,D-1/D-2,3,1,100,NA,0,0,3,1
13,1826991,20,13,D-1/D-2,3,1,105,VNF,0,0,3,1
14,1313353,20,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
15,227038,20,13,D-1/D-2,3,1,102,Water,0,0,3,1
16,26145,20,101,NF,0,0,102,Water,0,0,0,0
17,7492,20,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
18,25030,20,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
19,28823,20,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
20,101883,20,102,Water,0,0,105,VNF,0,0,0,0
21,67,20,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
22,4317,20,102,Water,0,0,100,NA,0,0,0,0
23,531,20,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
24,96163,20,31,O-1a,8,2,101,NF,0,0,8,2
25,50031,20,101,NF,0,0,101,NF,0,0,0,0
26,368674,20,13,D-1/D-2,3,1,101,NF,0,0,3,1
27,91124,20,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
28,13394,20,11,D-1,3,3,105,VNF,0,0,3,3
29,4097,20,102,Water,0,0,101,NF,0,0,0,0
30,1509,20,102,Water,0,0,7,C-7,4,3,-4,-3
31,6453,20,31,O-1a,8,2,7,C-7,4,3,4,-1
32,127,20,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
33,27284,20,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
34,7901,20,13,D-1/D-2,3,1,7,C-7,4,3,-1,-2
35,248,20,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
36,6497,20,4,C-4,10,10,105,VNF,0,0,10,10
37,9756,20,11,D-1,3,3,102,Water,0,0,3,3
38,29,20,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
39,41,20,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
40,972,20,101,NF,0,0,7,C-7,4,3,-4,-3
41,4071,20,3,C-3,7,7,60,M-1/M-2,7,6,0,1
42,1241,20,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
43,29,20,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
44,162,20,11,D-1,3,3,101,NF,0,0,3,3
45,422,20,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
46,55444,20,4,C-4,10,10,60,M-1/M-2,7,6,3,4
47,50,20,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
48,779,20,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
49,208,20,7,C-7,4,3,105,VNF,0,0,4,3
50,35,20,7,C-7,4,3,101,NF,0,0,4,3
51,568,20,3,C-3,7,7,105,VNF,0,0,7,7
52,517,20,7,C-7,4,3,33,O-1a/O-1b,8,2,-4,1
53,65,20,4,C-4,10,10,101,NF,0,0,10,10
