Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z20x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
54,1575,20,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
55,11,20,3,C-3,7,7,101,NF,0,0,7,7
56,2295,20,11,D-1,3,3,100,NA,0,0,3,3
57,1330,20,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
58,107,20,7,C-7,4,3,102,Water,0,0,4,3
59,136,20,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
60,10240,20,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
61,56,20,7,C-7,4,3,60,M-1/M-2,7,6,-3,-3
62,3918,20,4,C-4,10,10,102,Water,0,0,10,10
63,31,20,7,C-7,4,3,100,NA,0,0,4,3
64,332,20,3,C-3,7,7,102,Water,0,0,7,7
65,611,20,650,M-1/M-2 (50 PC),7,6,7,C-7,4,3,3,3
66,1711,20,11,D-1,3,3,7,C-7,4,3,-1,0
67,170,20,5,C-5,3,2,105,VNF,0,0,3,2
68,25,20,5,C-5,3,2,102,Water,0,0,3,2
69,68860,20,3,C-3,7,7,7,C-7,4,3,3,4
70,107633,20,4,C-4,10,10,7,C-7,4,3,6,7
71,2,20,7,C-7,4,3,7,C-7,4,3,0,0
72,74,20,5,C-5,3,2,33,O-1a/O-1b,8,2,-5,0
73,186,20,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
74,1,20,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
75,48,20,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
76,7,20,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
77,2,20,5,C-5,3,2,100,NA,0,0,3,2
78,689273,20,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
79,46136,20,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
80,139,20,2,C-2,10,10,105,VNF,0,0,10,10
81,865,20,3,C-3,7,7,100,NA,0,0,7,7
82,60,20,2,C-2,10,10,102,Water,0,0,10,10
83,14656,20,11,D-1,3,3,13,D-1/D-2,3,1,0,2
84,1427,20,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
85,23040,20,4,C-4,10,10,13,D-1/D-2,3,1,7,9
86,646,20,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
87,3900,20,101,NF,0,0,13,D-1/D-2,3,1,-3,-1
88,748,20,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
89,367,20,675,M-1/M-2 (75 PC),8,8,13,D-1/D-2,3,1,5,7
90,3147,20,4,C-4,10,10,100,NA,0,0,10,10
91,10784,20,3,C-3,7,7,13,D-1/D-2,3,1,4,6
92,2226,20,2,C-2,10,10,60,M-1/M-2,7,6,3,4
93,1033,20,2,C-2,10,10,13,D-1/D-2,3,1,7,9
94,118,20,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
95,4648,20,2,C-2,10,10,7,C-7,4,3,6,7
96,1966,20,675,M-1/M-2 (75 PC),8,8,7,C-7,4,3,4,5
97,1139,20,4,C-4,10,10,4,C-4,10,10,0,0
98,33,20,11,D-1,3,3,4,C-4,10,10,-7,-7
99,29,20,101,NF,0,0,4,C-4,10,10,-10,-10
100,87,20,2,C-2,10,10,100,NA,0,0,10,10
101,21,20,102,Water,0,0,4,C-4,10,10,-10,-10
102,36,20,31,O-1a,8,2,4,C-4,10,10,-2,-8
103,6,20,675,M-1/M-2 (75 PC),8,8,4,C-4,10,10,-2,-2
104,4113,20,3,C-3,7,7,4,C-4,10,10,-3,-3
105,35,20,2,C-2,10,10,4,C-4,10,10,0,0
106,54,20,13,D-1/D-2,3,1,4,C-4,10,10,-7,-9
107,6,20,625,M-1/M-2 (25 PC),5,3,7,C-7,4,3,1,0
108,5,20,7,C-7,4,3,13,D-1/D-2,3,1,1,2
109,13,20,650,M-1/M-2 (50 PC),7,6,4,C-4,10,10,-3,-4
110,8,20,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
111,4,20,5,C-5,3,2,101,NF,0,0,3,2
