Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z52x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,623502,52,31,O-1a,8,2,105,VNF,0,0,8,2
2,50912,52,101,NF,0,0,100,NA,0,0,0,0
3,15521,52,31,O-1a,8,2,100,NA,0,0,8,2
4,47072,52,101,NF,0,0,105,VNF,0,0,0,0
5,1762,52,13,D-1/D-2,3,1,105,VNF,0,0,3,1
6,2117,52,101,NF,0,0,13,D-1/D-2,3,1,-3,-1
7,23876,52,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
8,337,52,13,D-1/D-2,3,1,100,NA,0,0,3,1
9,117,52,11,D-1,3,3,13,D-1/D-2,3,1,0,2
10,3507,52,31,O-1a,8,2,102,Water,0,0,8,2
11,73,52,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
12,43,52,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
13,4780,52,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
14,11266,52,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
15,1676863,52,102,Water,0,0,102,Water,0,0,0,0
16,828,52,102,Water,0,0,105,VNF,0,0,0,0
17,82,52,11,D-1,3,3,105,VNF,0,0,3,3
18,17,52,3,C-3,7,7,105,VNF,0,0,7,7
19,1125,52,31,O-1a,8,2,101,NF,0,0,8,2
20,1486,52,101,NF,0,0,101,NF,0,0,0,0
21,126,52,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
22,65,52,4,C-4,10,10,105,VNF,0,0,10,10
23,47,52,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
24,100,52,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
25,1523,52,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
26,4849,52,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
27,225,52,13,D-1/D-2,3,1,102,Water,0,0,3,1
28,1068,52,101,NF,0,0,102,Water,0,0,0,0
29,26,52,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
30,53,52,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
31,146,52,31,O-1a,8,2,6,C-6,5,5,3,-3
32,104,52,102,Water,0,0,6,C-6,5,5,-5,-5
33,184,52,101,NF,0,0,6,C-6,5,5,-5,-5
34,1,52,2,C-2,10,10,13,D-1/D-2,3,1,7,9
35,45,52,13,D-1/D-2,3,1,101,NF,0,0,3,1
36,1,52,3,C-3,7,7,101,NF,0,0,7,7
37,5,52,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
38,2,52,11,D-1,3,3,100,NA,0,0,3,3
39,89,52,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
40,10,52,102,Water,0,0,101,NF,0,0,0,0
41,2,52,3,C-3,7,7,102,Water,0,0,7,7
42,20,52,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
43,570,52,102,Water,0,0,100,NA,0,0,0,0
44,51,52,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
45,13,52,11,D-1,3,3,102,Water,0,0,3,3
46,7,52,4,C-4,10,10,100,NA,0,0,10,10
47,7,52,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
48,3,52,2,C-2,10,10,60,M-1/M-2,7,6,3,4
49,16,52,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
50,2,52,2,C-2,10,10,100,NA,0,0,10,10
51,7,52,2,C-2,10,10,105,VNF,0,0,10,10
52,2,52,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
53,2,52,4,C-4,10,10,60,M-1/M-2,7,6,3,4
54,1,52,3,C-3,7,7,13,D-1/D-2,3,1,4,6
55,1,52,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
56,1,52,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
57,427,52,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
58,1,52,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
59,4,52,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
60,10,52,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
61,6,52,4,C-4,10,10,102,Water,0,0,10,10
62,5,52,13,D-1/D-2,3,1,6,C-6,5,5,-2,-4
63,3,52,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
64,142,52,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
65,3,52,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
66,1,52,3,C-3,7,7,100,NA,0,0,7,7
