Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z63x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,33164,63,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
2,16776752,63,102,Water,0,0,102,Water,0,0,0,0
3,1858053,63,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
4,39355,63,31,O-1a,8,2,102,Water,0,0,8,2
5,28076,63,11,D-1,3,3,102,Water,0,0,3,3
6,110923,63,31,O-1a,8,2,3,C-3,7,7,1,-5
7,202638,63,4,C-4,10,10,3,C-3,7,7,3,3
8,224096,63,2,C-2,10,10,60,M-1/M-2,7,6,3,4
9,1090730,63,11,D-1,3,3,105,VNF,0,0,3,3
10,12904818,63,31,O-1a,8,2,105,VNF,0,0,8,2
11,29946,63,13,D-1/D-2,3,1,102,Water,0,0,3,1
12,452571,63,2,C-2,10,10,3,C-3,7,7,3,3
13,271397,63,650,M-1/M-2 (50 PC),7,6,3,C-3,7,7,0,-1
14,1042561,63,11,D-1,3,3,3,C-3,7,7,-4,-4
15,172386,63,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
16,172211,63,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
17,149720,63,2,C-2,10,10,105,VNF,0,0,10,10
18,289232,63,13,D-1/D-2,3,1,105,VNF,0,0,3,1
19,66581,63,13,D-1/D-2,3,1,3,C-3,7,7,-4,-6
20,59900,63,4,C-4,10,10,60,M-1/M-2,7,6,3,4
21,112712,63,625,M-1/M-2 (25 PC),5,3,3,C-3,7,7,-2,-4
22,163134,63,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
23,3190,63,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
24,1202493,63,101,NF,0,0,105,VNF,0,0,0,0
25,405216,63,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
26,17060,63,675,M-1/M-2 (75 PC),8,8,3,C-3,7,7,1,1
27,14319,63,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
28,58481,63,101,NF,0,0,3,C-3,7,7,-7,-7
29,3483471,63,101,NF,0,0,100,NA,0,0,0,0
30,171475,63,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
31,3571,63,3,C-3,7,7,3,C-3,7,7,0,0
32,62730,63,13,D-1/D-2,3,1,100,NA,0,0,3,1
33,260899,63,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
34,146317,63,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
35,123607,63,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
36,208516,63,31,O-1a,8,2,101,NF,0,0,8,2
37,3314,63,3,C-3,7,7,60,M-1/M-2,7,6,0,1
38,78017,63,11,D-1,3,3,100,NA,0,0,3,3
39,57506,63,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
40,31325,63,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
41,49557,63,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
42,32619,63,13,D-1/D-2,3,1,101,NF,0,0,3,1
43,387473,63,101,NF,0,0,101,NF,0,0,0,0
44,18542,63,4,C-4,10,10,100,NA,0,0,10,10
45,17027,63,2,C-2,10,10,100,NA,0,0,10,10
46,43336,63,11,D-1,3,3,101,NF,0,0,3,3
47,11116,63,5,C-5,3,2,3,C-3,7,7,-4,-5
48,8587,63,102,Water,0,0,3,C-3,7,7,-7,-7
49,7997,63,4,C-4,10,10,101,NF,0,0,10,10
50,15417,63,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
51,4335,63,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
52,10819,63,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
53,10790,63,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
54,16369,63,102,Water,0,0,100,NA,0,0,0,0
55,133944,63,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
56,1729,63,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
57,102025,63,4,C-4,10,10,105,VNF,0,0,10,10
58,342357,63,31,O-1a,8,2,100,NA,0,0,8,2
59,2682,63,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
60,19238,63,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
61,95318,63,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
62,10198,63,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
63,9145,63,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
64,1959,63,5,C-5,3,2,105,VNF,0,0,3,2
65,9713,63,3,C-3,7,7,105,VNF,0,0,7,7
66,17919,63,102,Water,0,0,105,VNF,0,0,0,0
67,292,63,5,C-5,3,2,33,O-1a/O-1b,8,2,-5,0
68,3075,63,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
69,2866,63,2,C-2,10,10,102,Water,0,0,10,10
70,39,63,5,C-5,3,2,101,NF,0,0,3,2
71,4320,63,2,C-2,10,10,101,NF,0,0,10,10
72,14782,63,101,NF,0,0,102,Water,0,0,0,0
73,1423,63,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
74,1132,63,3,C-3,7,7,100,NA,0,0,7,7
75,5191,63,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
76,628,63,3,C-3,7,7,101,NF,0,0,7,7
77,1525,63,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
78,607,63,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
79,5241,63,4,C-4,10,10,102,Water,0,0,10,10
80,138,63,5,C-5,3,2,100,NA,0,0,3,2
81,1639,63,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
82,6734,63,102,Water,0,0,101,NF,0,0,0,0
83,201,63,3,C-3,7,7,102,Water,0,0,7,7
84,2,63,415,M-1 (15 PC),3,3,60,M-1/M-2,7,6,-4,-3
85,11,63,415,M-1 (15 PC),3,3,105,VNF,0,0,3,3
86,2,63,415,M-1 (15 PC),3,3,3,C-3,7,7,-4,-4
87,7,63,5,C-5,3,2,102,Water,0,0,3,2
88,151776,63,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
89,4043,63,4,C-4,10,10,13,D-1/D-2,3,1,7,9
90,50576,63,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
91,39509,63,101,NF,0,0,13,D-1/D-2,3,1,-3,-1
92,1753,63,101,NF,0,0,5,C-5,3,2,-3,-2
93,5704,63,2,C-2,10,10,13,D-1/D-2,3,1,7,9
94,588374,63,11,D-1,3,3,13,D-1/D-2,3,1,0,2
95,9672,63,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
96,691,63,102,Water,0,0,5,C-5,3,2,-3,-2
97,2052,63,2,C-2,10,10,5,C-5,3,2,7,8
98,476,63,625,M-1/M-2 (25 PC),5,3,5,C-5,3,2,2,1
99,2017,63,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
100,1007,63,4,C-4,10,10,5,C-5,3,2,7,8
101,1122,63,13,D-1/D-2,3,1,5,C-5,3,2,0,-1
102,900,63,31,O-1a,8,2,5,C-5,3,2,5,0
103,2417,63,11,D-1,3,3,5,C-5,3,2,0,1
104,598,63,675,M-1/M-2 (75 PC),8,8,13,D-1/D-2,3,1,5,7
105,15124,63,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
106,58,63,675,M-1/M-2 (75 PC),8,8,5,C-5,3,2,5,6
107,32,63,3,C-3,7,7,5,C-5,3,2,4,5
108,2795,63,650,M-1/M-2 (50 PC),7,6,5,C-5,3,2,4,4
109,939,63,3,C-3,7,7,13,D-1/D-2,3,1,4,6
110,83,63,5,C-5,3,2,5,C-5,3,2,0,0
111,39,63,5,C-5,3,2,13,D-1/D-2,3,1,0,1
