Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z08x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,45005,8,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
2,34778,8,4,C-4,10,10,7,C-7,4,3,6,7
3,463683,8,3,C-3,7,7,7,C-7,4,3,3,4
4,41419,8,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
5,340525,8,5,C-5,3,2,7,C-7,4,3,-1,-1
6,204756,8,5,C-5,3,2,33,O-1a/O-1b,8,2,-5,0
7,66315,8,31,O-1a,8,2,101,NF,0,0,8,2
8,42088,8,4,C-4,10,10,101,NF,0,0,10,10
9,9519,8,3,C-3,7,7,101,NF,0,0,7,7
10,15336,8,31,O-1a,8,2,7,C-7,4,3,4,-1
11,85501,8,13,D-1/D-2,3,1,101,NF,0,0,3,1
12,3510,8,31,O-1a,8,2,102,Water,0,0,8,2
13,772,8,3,C-3,7,7,102,Water,0,0,7,7
14,220359,8,102,Water,0,0,102,Water,0,0,0,0
15,1863,8,101,NF,0,0,102,Water,0,0,0,0
16,175658,8,13,D-1/D-2,3,1,7,C-7,4,3,-1,-2
17,504,8,102,Water,0,0,7,C-7,4,3,-4,-3
18,2826,8,5,C-5,3,2,102,Water,0,0,3,2
19,15880,8,2,C-2,10,10,7,C-7,4,3,6,7
20,115250,8,5,C-5,3,2,101,NF,0,0,3,2
21,9047,8,101,NF,0,0,7,C-7,4,3,-4,-3
22,23388,8,101,NF,0,0,101,NF,0,0,0,0
23,96181,8,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
24,232,8,4,C-4,10,10,102,Water,0,0,10,10
25,33820,8,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
26,36247,8,4,C-4,10,10,13,D-1/D-2,3,1,7,9
27,45547,8,3,C-3,7,7,13,D-1/D-2,3,1,4,6
28,10613,8,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
29,558,8,102,Water,0,0,101,NF,0,0,0,0
30,51461,8,5,C-5,3,2,13,D-1/D-2,3,1,0,1
31,595,8,415,M-1 (15 PC),3,3,33,O-1a/O-1b,8,2,-5,1
32,130,8,415,M-1 (15 PC),3,3,7,C-7,4,3,-1,0
33,11,8,2,C-2,10,10,102,Water,0,0,10,10
34,1536,8,13,D-1/D-2,3,1,102,Water,0,0,3,1
35,78953,8,4,C-4,10,10,1,C-1,7,7,3,3
36,229408,8,3,C-3,7,7,1,C-1,7,7,0,0
37,4307,8,625,M-1/M-2 (25 PC),5,3,7,C-7,4,3,1,0
38,20437,8,5,C-5,3,2,1,C-1,7,7,-4,-5
