Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z08x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
39,3617,8,675,M-1/M-2 (75 PC),8,8,7,C-7,4,3,4,5
40,49342,8,13,D-1/D-2,3,1,1,C-1,7,7,-4,-6
41,1055,8,31,O-1a,8,2,1,C-1,7,7,1,-5
42,6691,8,2,C-2,10,10,1,C-1,7,7,3,3
43,916,8,675,M-1/M-2 (75 PC),8,8,1,C-1,7,7,1,1
44,1515,8,675,M-1/M-2 (75 PC),8,8,13,D-1/D-2,3,1,5,7
45,2380,8,3,C-3,7,7,100,NA,0,0,7,7
46,10201,8,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
47,11125,8,5,C-5,3,2,100,NA,0,0,3,2
48,3332,8,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
49,291606,8,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
50,386,8,101,NF,0,0,1,C-1,7,7,-7,-7
51,150,8,415,M-1 (15 PC),3,3,13,D-1/D-2,3,1,0,2
52,221,8,4,C-4,10,10,100,NA,0,0,10,10
53,267,8,625,M-1/M-2 (25 PC),5,3,1,C-1,7,7,-2,-4
54,1545,8,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
55,358,8,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
56,189,8,415,M-1 (15 PC),3,3,1,C-1,7,7,-4,-4
57,2352,8,650,M-1/M-2 (50 PC),7,6,7,C-7,4,3,3,3
58,36321,8,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
59,920,8,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
60,846,8,415,M-1 (15 PC),3,3,101,NF,0,0,3,3
61,312,8,11,D-1,3,3,13,D-1/D-2,3,1,0,2
62,26,8,2,C-2,10,10,100,NA,0,0,10,10
63,2186,8,101,NF,0,0,13,D-1/D-2,3,1,-3,-1
64,738,8,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
65,493,8,2,C-2,10,10,13,D-1/D-2,3,1,7,9
66,2030,8,11,D-1,3,3,7,C-7,4,3,-1,0
67,503,8,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
68,3124,8,7,C-7,4,3,13,D-1/D-2,3,1,1,2
69,16,8,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
70,42317,8,7,C-7,4,3,7,C-7,4,3,0,0
71,1302,8,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
72,98,8,2,C-2,10,10,101,NF,0,0,10,10
73,111793,8,101,NF,0,0,100,NA,0,0,0,0
74,233,8,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
75,42,8,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
76,8085,8,31,O-1a,8,2,100,NA,0,0,8,2
77,112,8,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
78,1665,8,7,C-7,4,3,100,NA,0,0,4,3
79,7024,8,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
80,9622,8,13,D-1/D-2,3,1,100,NA,0,0,3,1
81,8434,8,7,C-7,4,3,101,NF,0,0,4,3
82,25290,8,7,C-7,4,3,33,O-1a/O-1b,8,2,-4,1
83,2468,8,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
84,817,8,11,D-1,3,3,101,NF,0,0,3,3
85,978,8,7,C-7,4,3,102,Water,0,0,4,3
86,30244,8,105,VNF,0,0,7,C-7,4,3,-4,-3
87,35800,8,105,VNF,0,0,13,D-1/D-2,3,1,-3,-1
88,25861,8,105,VNF,0,0,33,O-1a/O-1b,8,2,-8,-2
89,2242,8,105,VNF,0,0,101,NF,0,0,0,0
90,114,8,11,D-1,3,3,100,NA,0,0,3,3
91,4933,8,105,VNF,0,0,1,C-1,7,7,-7,-7
92,1030,8,102,Water,0,0,100,NA,0,0,0,0
93,407,8,105,VNF,0,0,100,NA,0,0,0,0
94,72,8,11,D-1,3,3,102,Water,0,0,3,3
95,51,8,102,Water,0,0,1,C-1,7,7,-7,-7
96,42,8,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
97,8032,8,5,C-5,3,2,105,VNF,0,0,3,2
98,27503,8,101,NF,0,0,105,VNF,0,0,0,0
99,76162,8,31,O-1a,8,2,105,VNF,0,0,8,2
100,3687,8,13,D-1/D-2,3,1,105,VNF,0,0,3,1
101,1942,8,7,C-7,4,3,105,VNF,0,0,4,3
102,576,8,3,C-3,7,7,105,VNF,0,0,7,7
103,623,8,11,D-1,3,3,105,VNF,0,0,3,3
104,13,8,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
105,477,8,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
106,8,8,4,C-4,10,10,105,VNF,0,0,10,10
107,65,8,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
108,42,8,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
109,30,8,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
110,15,8,650,M-1/M-2 (50 PC),7,6,1,C-1,7,7,0,-1
111,107,8,102,Water,0,0,105,VNF,0,0,0,0
112,889,8,7,C-7,4,3,1,C-1,7,7,-3,-4
113,19,8,4,C-4,10,10,60,M-1/M-2,7,6,3,4
114,142,8,3,C-3,7,7,60,M-1/M-2,7,6,0,1
115,202,8,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
116,3256,8,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
117,2582,8,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
118,1582,8,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
119,4100,8,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
120,182,8,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
121,365,8,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
122,478,8,7,C-7,4,3,60,M-1/M-2,7,6,-3,-3
123,96,8,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
124,15,8,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
125,144,8,105,VNF,0,0,105,VNF,0,0,0,0
126,106,8,105,VNF,0,0,102,Water,0,0,0,0
127,2,8,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
