Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z19x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,475587,19,2,C-2,10,10,1,C-1,7,7,3,3
2,828822,19,3,C-3,7,7,1,C-1,7,7,0,0
3,70170,19,675,M-1/M-2 (75 PC),8,8,1,C-1,7,7,1,1
4,268362,19,4,C-4,10,10,1,C-1,7,7,3,3
5,138303,19,415,M-1 (15 PC),3,3,1,C-1,7,7,-4,-4
6,110932,19,4,C-4,10,10,7,C-7,4,3,6,7
7,18858,19,625,M-1/M-2 (25 PC),5,3,1,C-1,7,7,-2,-4
8,142713,19,2,C-2,10,10,7,C-7,4,3,6,7
9,263510,19,3,C-3,7,7,7,C-7,4,3,3,4
10,15116,19,4,C-4,10,10,31,O-1a,8,2,2,8
11,101167,19,675,M-1/M-2 (75 PC),8,8,7,C-7,4,3,4,5
12,9743,19,3,C-3,7,7,31,O-1a,8,2,-1,5
13,111913,19,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
14,2016,19,2,C-2,10,10,31,O-1a,8,2,2,8
15,28854,19,13,D-1/D-2,3,1,1,C-1,7,7,-4,-6
16,172896,19,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
17,127561,19,415,M-1 (15 PC),3,3,7,C-7,4,3,-1,0
18,179603,19,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
19,101675,19,4,C-4,10,10,60,M-1/M-2,7,6,3,4
20,58342,19,2,C-2,10,10,60,M-1/M-2,7,6,3,4
21,171259,19,415,M-1 (15 PC),3,3,33,O-1a/O-1b,8,2,-5,1
22,70378,19,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
23,28757,19,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
24,31583,19,675,M-1/M-2 (75 PC),8,8,31,O-1a,8,2,0,6
25,22446,19,3,C-3,7,7,101,NF,0,0,7,7
26,445228,19,415,M-1 (15 PC),3,3,101,NF,0,0,3,3
27,1124537,19,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
28,27965,19,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
29,4305,19,13,D-1/D-2,3,1,101,NF,0,0,3,1
30,59799,19,3,C-3,7,7,60,M-1/M-2,7,6,0,1
31,30909,19,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
32,30624,19,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
33,6887,19,415,M-1 (15 PC),3,3,31,O-1a,8,2,-5,1
34,28005,19,625,M-1/M-2 (25 PC),5,3,7,C-7,4,3,1,0
35,18875,19,101,NF,0,0,101,NF,0,0,0,0
