MapZone,Value,Count,FBP_30m_90,CA_FuelType,CAFuelGrp,CA_SprHaz,CA_SumHaz,z01x_cfdrs,LF_FuelType,LFFuelGrp,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,1,2564841,5,C-5,Conifer,3,2,7,C-7,Conifer,4,3,-1,-1
1,2,6529080,5,C-5,Conifer,3,2,3,C-3,Conifer,7,7,-4,-5
1,3,2304482,3,C-3,Conifer,7,7,3,C-3,Conifer,7,7,0,0
1,4,324571,3,C-3,Conifer,7,7,60,M-1/M-2,Mixed,7,6,0,1
1,5,1836063,5,C-5,Conifer,3,2,60,M-1/M-2,Mixed,7,6,-4,-4
1,6,733130,5,C-5,Conifer,3,2,33,O-1a/O-1b,Open,8,2,-5,0
1,7,1431068,3,C-3,Conifer,7,7,33,O-1a/O-1b,Open,8,2,-1,5
1,8,443165,7,C-7,Conifer,4,3,33,O-1a/O-1b,Open,8,2,-4,1
1,9,224127,7,C-7,Conifer,4,3,60,M-1/M-2,Mixed,7,6,-3,-3
1,10,172759,7,C-7,Conifer,4,3,5,C-5,Conifer,3,2,1,1
1,11,2892580,5,C-5,Conifer,3,2,5,C-5,Conifer,3,2,0,0
1,12,158084,7,C-7,Conifer,4,3,7,C-7,Conifer,4,3,0,0
1,13,53518,675,M-1/M-2 (75 PC),Mixed,8,8,60,M-1/M-2,Mixed,7,6,1,2
1,14,459163,675,M-1/M-2 (75 PC),Mixed,8,8,33,O-1a/O-1b,Open,8,2,0,6
1,15,9280402,102,Water,NonFuel,0,0,102,Water,NonFuel,0,0,0,0
1,16,119136,31,O-1a,Open,8,2,102,Water,NonFuel,0,0,8,2
1,17,3899,2,C-2,Conifer,10,10,102,Water,NonFuel,0,0,10,10
1,18,367073,11,D-1,Deciduous,3,3,60,M-1/M-2,Mixed,7,6,-4,-3
1,19,40325,650,M-1/M-2 (50 PC),Mixed,7,6,60,M-1/M-2,Mixed,7,6,0,0
1,20,548809,415,M-1 (15 PC),Mixed,3,3,33,O-1a/O-1b,Open,8,2,-5,1
1,21,497647,31,O-1a,Open,8,2,33,O-1a/O-1b,Open,8,2,0,0
1,22,602613,3,C-3,Conifer,7,7,5,C-5,Conifer,3,2,4,5
1,23,1830448,3,C-3,Conifer,7,7,7,C-7,Conifer,4,3,3,4
1,24,174708,625,M-1/M-2 (25 PC),Mixed,5,3,33,O-1a/O-1b,Open,8,2,-3,1
1,25,224103,13,D-1/D-2,Deciduous,3,1,33,O-1a/O-1b,Open,8,2,-5,-1
1,26,338348,31,O-1a,Open,8,2,101,NF,NonFuel,0,0,8,2
1,27,337686,11,D-1,Deciduous,3,3,33,O-1a/O-1b,Open,8,2,-5,1
1,28,22335,625,M-1/M-2 (25 PC),Mixed,5,3,5,C-5,Conifer,3,2,2,1
1,29,131454,11,D-1,Deciduous,3,3,5,C-5,Conifer,3,2,0,1
1,30,129637,675,M-1/M-2 (75 PC),Mixed,8,8,7,C-7,Conifer,4,3,4,5
1,31,180508,13,D-1/D-2,Deciduous,3,1,101,NF,NonFuel,0,0,3,1
1,32,40127,13,D-1/D-2,Deciduous,3,1,5,C-5,Conifer,3,2,0,-1
1,33,23259,101,NF,NonFuel,0,0,3,C-3,Conifer,7,7,-7,-7
1,34,244780,415,M-1 (15 PC),Mixed,3,3,3,C-3,Conifer,7,7,-4,-4
1,35,122329,3,C-3,Conifer,7,7,101,NF,NonFuel,0,0,7,7
