Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z40x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,38302830,40,31,O-1a,8,2,105,VNF,0,0,8,2
2,1081208,40,101,NF,0,0,100,NA,0,0,0,0
3,992421,40,101,NF,0,0,105,VNF,0,0,0,0
4,633236,40,31,O-1a,8,2,100,NA,0,0,8,2
5,770336,40,13,D-1/D-2,3,1,105,VNF,0,0,3,1
6,39850,40,13,D-1/D-2,3,1,100,NA,0,0,3,1
7,332534,40,102,Water,0,0,105,VNF,0,0,0,0
8,3188469,40,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
9,247068,40,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
10,877251,40,31,O-1a,8,2,102,Water,0,0,8,2
11,993625,40,102,Water,0,0,102,Water,0,0,0,0
12,303843,40,11,D-1,3,3,102,Water,0,0,3,3
13,78067,40,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
14,707031,40,11,D-1,3,3,105,VNF,0,0,3,3
15,42381,40,13,D-1/D-2,3,1,102,Water,0,0,3,1
16,112611,40,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
17,203014,40,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
18,1502824,40,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
19,39779,40,11,D-1,3,3,100,NA,0,0,3,3
20,35736,40,101,NF,0,0,102,Water,0,0,0,0
21,1302682,40,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
22,8459,40,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
23,1032311,40,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
24,30598,40,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
25,580824,40,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
26,10772,40,102,Water,0,0,100,NA,0,0,0,0
27,28927,40,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
28,60400,40,101,NF,0,0,13,D-1/D-2,3,1,-3,-1
29,3280752,40,11,D-1,3,3,13,D-1/D-2,3,1,0,2
30,24145,40,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
31,29614,40,31,O-1a,8,2,101,NF,0,0,8,2
32,1375,40,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
33,697,40,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
34,2321,40,102,Water,0,0,101,NF,0,0,0,0
35,12233,40,13,D-1/D-2,3,1,101,NF,0,0,3,1
36,3179,40,11,D-1,3,3,101,NF,0,0,3,3
37,735193,40,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
38,342922,40,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
39,443633,40,2,C-2,10,10,60,M-1/M-2,7,6,3,4
40,306037,40,3,C-3,7,7,60,M-1/M-2,7,6,0,1
41,59370,40,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
42,787665,40,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
43,350985,40,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
44,33073,40,675,M-1/M-2 (75 PC),8,8,13,D-1/D-2,3,1,5,7
45,250719,40,2,C-2,10,10,13,D-1/D-2,3,1,7,9
46,119406,40,4,C-4,10,10,60,M-1/M-2,7,6,3,4
47,504539,40,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
48,3912,40,4,C-4,10,10,2,C-2,10,10,0,0
49,2047,40,675,M-1/M-2 (75 PC),8,8,2,C-2,10,10,-2,-2
50,31806,40,3,C-3,7,7,2,C-2,10,10,-3,-3
51,172911,40,3,C-3,7,7,13,D-1/D-2,3,1,4,6
52,55215,40,650,M-1/M-2 (50 PC),7,6,2,C-2,10,10,-3,-4
53,43578,40,2,C-2,10,10,2,C-2,10,10,0,0
54,54745,40,3,C-3,7,7,101,NF,0,0,7,7
55,592668,40,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
56,2073,40,2,C-2,10,10,101,NF,0,0,10,10
57,1425,40,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
58,2798,40,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
59,7357,40,4,C-4,10,10,101,NF,0,0,10,10
60,7197,40,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
61,8893,40,11,D-1,3,3,2,C-2,10,10,-7,-7
62,61869,40,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
63,19896,40,4,C-4,10,10,13,D-1/D-2,3,1,7,9
64,49399,40,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
65,5495,40,625,M-1/M-2 (25 PC),5,3,2,C-2,10,10,-5,-7
66,6670,40,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
67,7283,40,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
68,844,40,4,C-4,10,10,102,Water,0,0,10,10
69,7823,40,3,C-3,7,7,102,Water,0,0,7,7
70,12036,40,2,C-2,10,10,102,Water,0,0,10,10
71,13584,40,31,O-1a,8,2,2,C-2,10,10,-2,-8
72,20762,40,101,NF,0,0,101,NF,0,0,0,0
73,233230,40,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
74,129320,40,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
75,1062,40,102,Water,0,0,2,C-2,10,10,-10,-10
76,2092,40,4,C-4,10,10,100,NA,0,0,10,10
77,2969,40,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
78,3567,40,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
79,2494,40,2,C-2,10,10,100,NA,0,0,10,10
80,5534,40,3,C-3,7,7,100,NA,0,0,7,7
81,1124,40,101,NF,0,0,2,C-2,10,10,-10,-10
82,6743,40,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
83,1923,40,415,M-1 (15 PC),3,3,13,D-1/D-2,3,1,0,2
