Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z40x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
84,6987,40,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
85,412,40,415,M-1 (15 PC),3,3,102,Water,0,0,3,3
86,303,40,415,M-1 (15 PC),3,3,33,O-1a/O-1b,8,2,-5,1
87,5643,40,3,C-3,7,7,105,VNF,0,0,7,7
88,282,40,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
89,16,40,415,M-1 (15 PC),3,3,100,NA,0,0,3,3
90,5,40,415,M-1 (15 PC),3,3,60,M-1/M-2,7,6,-4,-3
91,2914,40,2,C-2,10,10,105,VNF,0,0,10,10
92,202,40,415,M-1 (15 PC),3,3,105,VNF,0,0,3,3
93,6,40,105,VNF,0,0,100,NA,0,0,0,0
94,8799,40,4,C-4,10,10,105,VNF,0,0,10,10
95,807,40,13,D-1/D-2,3,1,2,C-2,10,10,-7,-9
96,309,40,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
97,8523,40,105,VNF,0,0,33,O-1a/O-1b,8,2,-8,-2
98,1045,40,105,VNF,0,0,13,D-1/D-2,3,1,-3,-1
99,214,40,105,VNF,0,0,105,VNF,0,0,0,0
100,64,40,105,VNF,0,0,60,M-1/M-2,7,6,-7,-6
101,40,40,105,VNF,0,0,2,C-2,10,10,-10,-10
102,16,40,5,C-5,3,2,105,VNF,0,0,3,2
103,139,40,5,C-5,3,2,33,O-1a/O-1b,8,2,-5,0
104,3,40,5,C-5,3,2,100,NA,0,0,3,2
105,10,40,5,C-5,3,2,102,Water,0,0,3,2
