Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z64x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,2105306,64,101,NF,0,0,100,NA,0,0,0,0
2,57582,64,13,D-1/D-2,3,1,100,NA,0,0,3,1
3,28651,64,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
4,740773,64,650,M-1/M-2 (50 PC),7,6,3,C-3,7,7,0,-1
5,603599,64,101,NF,0,0,105,VNF,0,0,0,0
6,6485,64,4,C-4,10,10,100,NA,0,0,10,10
7,305607,64,2,C-2,10,10,3,C-3,7,7,3,3
8,115983,64,101,NF,0,0,3,C-3,7,7,-7,-7
9,247773,64,31,O-1a,8,2,100,NA,0,0,8,2
10,92856,64,675,M-1/M-2 (75 PC),8,8,3,C-3,7,7,1,1
11,9058293,64,31,O-1a,8,2,105,VNF,0,0,8,2
12,697469,64,11,D-1,3,3,105,VNF,0,0,3,3
13,391,64,415,M-1 (15 PC),3,3,100,NA,0,0,3,3
14,101861,64,4,C-4,10,10,3,C-3,7,7,3,3
15,338743,64,13,D-1/D-2,3,1,105,VNF,0,0,3,1
16,128053,64,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
17,25005,64,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
18,289970,64,101,NF,0,0,101,NF,0,0,0,0
19,149460,64,11,D-1,3,3,100,NA,0,0,3,3
20,252143,64,31,O-1a,8,2,3,C-3,7,7,1,-5
21,9079,64,2,C-2,10,10,100,NA,0,0,10,10
22,80134,64,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
23,171685,64,13,D-1/D-2,3,1,3,C-3,7,7,-4,-6
24,5857,64,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
25,157406,64,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
26,580297,64,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
27,5668473,64,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
28,29442,64,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
29,473817,64,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
30,288782,64,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
31,66843,64,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
32,236267,64,625,M-1/M-2 (25 PC),5,3,3,C-3,7,7,-2,-4
33,43715,64,4,C-4,10,10,60,M-1/M-2,7,6,3,4
34,10386,64,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
35,2841616,64,11,D-1,3,3,3,C-3,7,7,-4,-4
36,100766,64,11,D-1,3,3,101,NF,0,0,3,3
37,10231,64,102,Water,0,0,100,NA,0,0,0,0
38,330308,64,31,O-1a,8,2,101,NF,0,0,8,2
39,1180615,64,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
40,698078,64,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
41,4011,64,415,M-1 (15 PC),3,3,105,VNF,0,0,3,3
42,15716,64,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
43,176379,64,2,C-2,10,10,60,M-1/M-2,7,6,3,4
44,262384,64,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
45,81120,64,13,D-1/D-2,3,1,101,NF,0,0,3,1
46,3729,64,415,M-1 (15 PC),3,3,3,C-3,7,7,-4,-4
47,23406,64,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
48,3768,64,2,C-2,10,10,101,NF,0,0,10,10
49,8164,64,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
50,13843,64,415,M-1 (15 PC),3,3,60,M-1/M-2,7,6,-4,-3
51,6380,64,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
52,74136,64,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
53,380105,64,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
54,23703,64,2,C-2,10,10,105,VNF,0,0,10,10
55,3447,64,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
56,26758,64,3,C-3,7,7,3,C-3,7,7,0,0
57,1091,64,415,M-1 (15 PC),3,3,33,O-1a/O-1b,8,2,-5,1
58,15548,64,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
59,166784,64,5,C-5,3,2,3,C-3,7,7,-4,-5
60,77754,64,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
61,17130,64,4,C-4,10,10,105,VNF,0,0,10,10
62,22976,64,3,C-3,7,7,60,M-1/M-2,7,6,0,1
63,4024,64,4,C-4,10,10,101,NF,0,0,10,10
64,38359,64,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
