Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z64x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
65,196586,64,31,O-1a,8,2,102,Water,0,0,8,2
66,24271,64,101,NF,0,0,102,Water,0,0,0,0
67,2336979,64,102,Water,0,0,102,Water,0,0,0,0
68,22122,64,102,Water,0,0,105,VNF,0,0,0,0
69,64438,64,11,D-1,3,3,102,Water,0,0,3,3
70,54789,64,13,D-1/D-2,3,1,102,Water,0,0,3,1
71,1027,64,5,C-5,3,2,101,NF,0,0,3,2
72,34247,64,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
73,8132,64,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
74,4715,64,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
75,1791,64,3,C-3,7,7,100,NA,0,0,7,7
76,33925,64,102,Water,0,0,3,C-3,7,7,-7,-7
77,7103,64,3,C-3,7,7,105,VNF,0,0,7,7
78,63151,64,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
79,4381,64,5,C-5,3,2,105,VNF,0,0,3,2
80,15351,64,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
81,4471,64,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
82,2536,64,5,C-5,3,2,100,NA,0,0,3,2
83,1835,64,3,C-3,7,7,101,NF,0,0,7,7
84,314,64,415,M-1 (15 PC),3,3,102,Water,0,0,3,3
85,1342,64,3,C-3,7,7,102,Water,0,0,7,7
86,318,64,415,M-1 (15 PC),3,3,101,NF,0,0,3,3
87,7906,64,2,C-2,10,10,102,Water,0,0,10,10
88,5290,64,102,Water,0,0,101,NF,0,0,0,0
89,11573,64,4,C-4,10,10,102,Water,0,0,10,10
90,10611,64,5,C-5,3,2,33,O-1a/O-1b,8,2,-5,0
91,1781,64,5,C-5,3,2,102,Water,0,0,3,2
92,3,64,105,VNF,0,0,3,C-3,7,7,-7,-7
93,14,64,105,VNF,0,0,105,VNF,0,0,0,0
94,8,64,105,VNF,0,0,100,NA,0,0,0,0
95,1,64,105,VNF,0,0,33,O-1a/O-1b,8,2,-8,-2
96,3,64,105,VNF,0,0,101,NF,0,0,0,0
97,13,64,105,VNF,0,0,60,M-1/M-2,7,6,-7,-6
