Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z66x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,426215,66,3,C-3,7,7,2,C-2,10,10,-3,-3
2,6290605,66,2,C-2,10,10,2,C-2,10,10,0,0
3,1035037,66,4,C-4,10,10,2,C-2,10,10,0,0
4,13394,66,3,C-3,7,7,102,Water,0,0,7,7
5,35357,66,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
6,80826,66,2,C-2,10,10,102,Water,0,0,10,10
7,1592816,66,675,M-1/M-2 (75 PC),8,8,2,C-2,10,10,-2,-2
8,3492951,66,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,7,1,1
9,131029,66,2,C-2,10,10,100,NA,0,0,10,10
10,12780,66,3,C-3,7,7,100,NA,0,0,7,7
11,78242,66,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
12,10648895,66,2,C-2,10,10,60,M-1/M-2,7,7,3,3
13,2971101,66,2,C-2,10,10,1,C-1,7,7,3,3
14,109283,66,3,C-3,7,7,1,C-1,7,7,0,0
15,262999,66,3,C-3,7,7,60,M-1/M-2,7,7,0,0
16,1535819,66,675,M-1/M-2 (75 PC),8,8,1,C-1,7,7,1,1
17,11567262,66,11,D-1,3,3,1,C-1,7,7,-4,-4
18,697641,66,650,M-1/M-2 (50 PC),7,6,2,C-2,10,10,-3,-4
19,4269837,66,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,7,0,-1
20,311694,66,31,O-1a,8,2,60,M-1/M-2,7,7,1,-5
21,7627239,66,11,D-1,3,3,60,M-1/M-2,7,7,-4,-4
22,2045255,66,4,C-4,10,10,60,M-1/M-2,7,7,3,3
23,1579917,66,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,7,-2,-4
24,209874,66,13,D-1/D-2,3,1,1,C-1,7,7,-4,-6
25,1412494,66,625,M-1/M-2 (25 PC),5,3,1,C-1,7,7,-2,-4
26,2098702,66,650,M-1/M-2 (50 PC),7,6,1,C-1,7,7,0,-1
27,90997,66,11,D-1,3,3,101,NF,0,0,3,3
28,140021,66,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
29,142447,66,2,C-2,10,10,101,NF,0,0,10,10
30,239489,66,4,C-4,10,10,33,O-1a/O-1b,8,8,2,2
31,91339,66,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
32,202773,66,31,O-1a,8,2,2,C-2,10,10,-2,-8
33,341677,66,13,D-1/D-2,3,1,60,M-1/M-2,7,7,-4,-6
34,957382,66,4,C-4,10,10,1,C-1,7,7,3,3
35,1556454,66,11,D-1,3,3,33,O-1a/O-1b,8,8,-5,-5
36,489413,66,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,8,-1,-2
37,743386,66,2,C-2,10,10,33,O-1a/O-1b,8,8,2,2
38,47065,66,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
39,211805,66,31,O-1a,8,2,102,Water,0,0,8,2
40,561830,66,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,8,0,0
41,59009,66,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
42,406268,66,11,D-1,3,3,2,C-2,10,10,-7,-7
43,564766,66,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,8,-3,-5
44,275331,66,625,M-1/M-2 (25 PC),5,3,2,C-2,10,10,-5,-7
45,19793,66,3,C-3,7,7,33,O-1a/O-1b,8,8,-1,-1
46,73286,66,415,M-1 (15 PC),3,3,33,O-1a/O-1b,8,8,-5,-5
47,73324,66,415,M-1 (15 PC),3,3,60,M-1/M-2,7,7,-4,-4
48,40091,66,4,C-4,10,10,101,NF,0,0,10,10
49,18649,66,4,C-4,10,10,102,Water,0,0,10,10
50,168794,66,13,D-1/D-2,3,1,33,O-1a/O-1b,8,8,-5,-7
51,182556,66,13,D-1/D-2,3,1,2,C-2,10,10,-7,-9
52,60204,66,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
53,144199,66,101,NF,0,0,33,O-1a/O-1b,8,8,-8,-8
