Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z30x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,580816,30,102,Water,0,0,102,Water,0,0,0,0
2,368826,30,31,O-1a,8,2,102,Water,0,0,8,2
3,13789681,30,31,O-1a,8,2,105,VNF,0,0,8,2
4,212310,30,31,O-1a,8,2,100,NA,0,0,8,2
5,238925,30,101,NF,0,0,100,NA,0,0,0,0
6,21469,30,31,O-1a,8,2,7,C-7,4,3,4,-1
7,295078,30,101,NF,0,0,105,VNF,0,0,0,0
8,70974,30,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
9,2630,30,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
10,85831,30,102,Water,0,0,105,VNF,0,0,0,0
11,43220,30,101,NF,0,0,102,Water,0,0,0,0
12,3928,30,102,Water,0,0,100,NA,0,0,0,0
13,41943,30,13,D-1/D-2,3,1,100,NA,0,0,3,1
14,2346,30,102,Water,0,0,101,NF,0,0,0,0
15,17259,30,31,O-1a,8,2,101,NF,0,0,8,2
16,3831,30,101,NF,0,0,101,NF,0,0,0,0
17,1203528,30,13,D-1/D-2,3,1,105,VNF,0,0,3,1
18,11853,30,11,D-1,3,3,105,VNF,0,0,3,3
19,42348,30,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
20,448002,30,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
21,16029,30,11,D-1,3,3,102,Water,0,0,3,3
22,64483,30,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
23,43516,30,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
24,27243,30,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
25,67796,30,13,D-1/D-2,3,1,102,Water,0,0,3,1
26,4474,30,102,Water,0,0,7,C-7,4,3,-4,-3
27,2084,30,101,NF,0,0,7,C-7,4,3,-4,-3
28,3417922,30,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
29,5823,30,13,D-1/D-2,3,1,7,C-7,4,3,-1,-2
30,96,30,11,D-1,3,3,101,NF,0,0,3,3
31,528,30,11,D-1,3,3,100,NA,0,0,3,3
32,5125,30,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
33,16731,30,13,D-1/D-2,3,1,101,NF,0,0,3,1
34,4779,30,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
35,160,30,4,C-4,10,10,102,Water,0,0,10,10
36,560,30,11,D-1,3,3,7,C-7,4,3,-1,0
37,12,30,4,C-4,10,10,7,C-7,4,3,6,7
38,9,30,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
39,22,30,4,C-4,10,10,105,VNF,0,0,10,10
40,5,30,4,C-4,10,10,60,M-1/M-2,7,6,3,4
41,4,30,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
42,12,30,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
43,1,30,4,C-4,10,10,100,NA,0,0,10,10
44,1,30,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
