Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z51x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,53431735,51,102,Water,0,0,102,Water,0,0,0,0
2,330249,51,31,O-1a,8,2,102,Water,0,0,8,2
3,244122,51,3,C-3,7,7,3,C-3,7,7,0,0
4,55115,51,2,C-2,10,10,102,Water,0,0,10,10
5,733993,51,2,C-2,10,10,3,C-3,7,7,3,3
6,3002169,51,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
7,1607842,51,2,C-2,10,10,13,D-1/D-2,3,1,7,9
8,519905,51,675,M-1/M-2 (75 PC),8,8,13,D-1/D-2,3,1,5,7
9,885161,51,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
10,606390,51,650,M-1/M-2 (50 PC),7,6,3,C-3,7,7,0,-1
11,3947226,51,11,D-1,3,3,13,D-1/D-2,3,1,0,2
12,112039,51,4,C-4,10,10,13,D-1/D-2,3,1,7,9
13,156502,51,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
14,53789,51,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
15,51920,51,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
16,1087339,51,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
17,460446,51,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
18,7092568,51,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
19,225780,51,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
20,371712,51,2,C-2,10,10,60,M-1/M-2,7,6,3,4
21,249804,51,3,C-3,7,7,13,D-1/D-2,3,1,4,6
22,59149,51,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
23,69567,51,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
24,780434,51,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
25,19966,51,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
26,18319,51,13,D-1/D-2,3,1,102,Water,0,0,3,1
27,161298,51,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
28,136494,51,31,O-1a,8,2,3,C-3,7,7,1,-5
29,29565,51,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
30,58853,51,3,C-3,7,7,60,M-1/M-2,7,6,0,1
31,131067,51,675,M-1/M-2 (75 PC),8,8,3,C-3,7,7,1,1
32,11051,51,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
33,44037,51,102,Water,0,0,3,C-3,7,7,-7,-7
34,26946,51,13,D-1/D-2,3,1,3,C-3,7,7,-4,-6
35,46219,51,3,C-3,7,7,102,Water,0,0,7,7
36,34,51,415,M-1 (15 PC),3,3,102,Water,0,0,3,3
37,17314,51,4,C-4,10,10,102,Water,0,0,10,10
38,22132,51,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
39,68499,51,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
40,78794,51,4,C-4,10,10,3,C-3,7,7,3,3
41,60321,51,4,C-4,10,10,60,M-1/M-2,7,6,3,4
42,40156,51,625,M-1/M-2 (25 PC),5,3,3,C-3,7,7,-2,-4
43,40571,51,11,D-1,3,3,102,Water,0,0,3,3
44,407030,51,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
45,208976,51,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
46,27389,51,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
47,32933,51,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
48,29321,51,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
